title,description,year,genre,type,cover_image
The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008,"Drama, Action, Crime, Thriller",Movie,https://image.tmdb.org/t/p/w500//qJ2tW6WMUDux911r6m7haRef0WH.jpg
Megalopolis,"Genius artist Cesar Catilina seeks to leap the City of New Rome into a utopian, idealistic future, while his opposition, Mayor Franklyn Cicero, remains committed to a regressive status quo, perpetuating greed, special interests, and partisan warfare. Torn between them is socialite Julia Cicero, the mayor’s daughter, whose love for Cesar has divided her loyalties, forcing her to discover what she truly believes humanity deserves.",2024,"Science Fiction, Drama",Movie,https://image.tmdb.org/t/p/w500//8Sok3HNA3r1GHnK2lCytHyBz1A.jpg
The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",2003,"Adventure, Fantasy, Action",Movie,https://image.tmdb.org/t/p/w500//rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
The Instigators,"Rory and Cobby are unlikely partners thrown together for a heist. But when it goes awry, they team up to outrun police, backward bureaucrats, and a vengeful crime boss.",2024,"Crime, Comedy, Action",Movie,https://image.tmdb.org/t/p/w500//pIz9csYn1yjrzQi0BuBZNJrTMi0.jpg
Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021,"Action, Adventure, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//1g0dhYtq4irTY1GPXvft6k4YLjm.jpg
Infinite,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",2021,"Science Fiction, Action, Adventure, Thriller",Movie,https://image.tmdb.org/t/p/w500//niw2AKHz6XmwiRMLWaoyAOAti0G.jpg
Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017,"Family, Animation, Music, Adventure",Movie,https://image.tmdb.org/t/p/w500//gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
Monolith,"A desperate young journalist turns to podcasting to salvage her career, but her rush to make headlines leads her to an alien conspiracy.",2023,"Horror, Mystery, Science Fiction, Thriller",Movie,https://image.tmdb.org/t/p/w500//zKpLzzX1va6gkMJiI9p3DudqChe.jpg
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",2024,"Horror, Crime, Mystery",Movie,https://image.tmdb.org/t/p/w500//ArvoFK6nlouZRxYmtIOUzKIrg90.jpg
Beverly Hills Cop: Axel F,"Forty years after his unforgettable first case in Beverly Hills, Detroit cop Axel Foley returns to do what he does best: solve crimes and cause chaos.",2024,"Action, Comedy, Crime",Movie,https://image.tmdb.org/t/p/w500//zszRKfzjM5jltiq8rk6rasKVpUv.jpg
Killer Babes,"Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job.",2024,"Comedy, Crime, Thriller",Movie,https://image.tmdb.org/t/p/w500//qEMBuWTySJFpBgT5Psz6ppEirEY.jpg
The Jack in the Box: Rises,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",2024,Horror,Movie,https://image.tmdb.org/t/p/w500//oDVjlCTSyF6Fh8Fpm683MyGGnSG.jpg
BLUE LOCK THE MOVIE -EPISODE NAGI-,"One day, Nagi Seishiro receives an invitation to the mysterious BLUE LOCK Project. What awaits him there is an encounter with the finest strikers assembled from across the country. Nagi's dream of becoming the best, alongside Mikage Reo, will take this prodigy to a world he's never known.",2024,"Animation, Action, Drama",Movie,https://image.tmdb.org/t/p/w500//ae434jM5NG2kKX1rRkG5giMhpPI.jpg
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",2005,"Adventure, Family, Fantasy",Movie,https://image.tmdb.org/t/p/w500//iREd0rNCjYdf5Ar0vfaW32yrkm.jpg
Oddity,"After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge.",2024,"Horror, Mystery",Movie,https://image.tmdb.org/t/p/w500//uln9Efc2vzDOl0Fue2BPs8l1WO7.jpg
Under Paris,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",2024,"Action, Drama, Horror, Thriller",Movie,https://image.tmdb.org/t/p/w500//qZPLK5ktRKa3CL4sKRZtj8UlPYc.jpg
The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994,"Drama, Crime",Movie,https://image.tmdb.org/t/p/w500//9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
365 Days: This Day,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",2022,"Romance, Drama",Movie,https://image.tmdb.org/t/p/w500//7qU0SOVcQ8BTJLodcAlulUAG16C.jpg
Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",1979,"Horror, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg
The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",2014,"Action, Mystery, Science Fiction, Thriller",Movie,https://image.tmdb.org/t/p/w500//ode14q7WtDugFDp78fo9lCsmay9.jpg
Kalikot,"Sal, a hot single professor, moves across an auto service shop and rocks the world of young repairman Arnel. Ever since Sal came over to get her car fixed, Arnel's skilled hands have always been busy. But can he still fix the problems that come with it?",2024,Drama,Movie,https://image.tmdb.org/t/p/w500//bnOz6hfBTOIDYyrj8P3Pcj4uVzE.jpg
Cursed,"The lives of six girls belong to different worlds although connected to each other through a doll called Molly, whose existence dates back to 1976, when she appeared among the rubble of the great fire of the San Carlos orphanage, in northern Spain",2023,"Horror, Action, Drama",Movie,https://image.tmdb.org/t/p/w500//nQlq8Dp0DiYbAmybZFwp2JvS2Ml.jpg
The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",1993,"Fantasy, Animation, Family",Movie,https://image.tmdb.org/t/p/w500//oQffRNjK8e19rF7xVYEN8ew0j7b.jpg
The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",2023,"Science Fiction, Adventure, Action",Movie,https://image.tmdb.org/t/p/w500//9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg
3 Days in Malay,"Marines stationed at an airfield in Malay during WWII get wind of a coming raid by the Japanese. Unable to get reinforcements approved, they engage in a harrowing 3-day battle against enemy forces.",2023,"Action, Adventure, War",Movie,https://image.tmdb.org/t/p/w500//hqnfqeCILvgKGWKOut5lVdxdeJh.jpg
Shrek,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",2001,"Animation, Comedy, Fantasy, Adventure, Family",Movie,https://image.tmdb.org/t/p/w500//iB64vpL3dIObOtMZgX3RqdVdQDc.jpg
Red One,"After Santa Claus (code name: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.",2024,"Action, Adventure, Fantasy",Movie,https://image.tmdb.org/t/p/w500//cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2014,"Action, Adventure, Fantasy",Movie,https://image.tmdb.org/t/p/w500//xT98tLqatZPQApyRmlPL12LtiWp.jpg
The Air He Breathes,"Still mourning her husband's death, Elizabeth moves home with daughter and meets neighbor rumored to have a dark past who is also drowning in grief.",2024,"Drama, Romance",Movie,https://image.tmdb.org/t/p/w500//jN0vACIW2fgUhVhtqIBxbNAbsB6.jpg
The Fall Guy,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",2024,"Action, Comedy",Movie,https://image.tmdb.org/t/p/w500//tSz1qsmSJon0rqjHBxXZmrotuse.jpg
Harry Potter and the Order of the Phoenix,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",2007,"Adventure, Fantasy",Movie,https://image.tmdb.org/t/p/w500//5aOyriWkPec0zUDxmHFP9qMmBaj.jpg
Non Negotiable,"Hostage negotiator Alan Bender is called to rescue the president from a kidnapping, only to find himself also mediating to save his wife and marriage.",2024,"Action, Thriller, Comedy, Drama",Movie,https://image.tmdb.org/t/p/w500//bHQG4UsLMFCy91gfLAFRpnCOPdP.jpg
Wonka,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",2023,"Comedy, Family, Fantasy",Movie,https://image.tmdb.org/t/p/w500//qhb1qOilapbapxWQn9jtRCMwXJF.jpg
The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012,"Science Fiction, Action, Adventure",Movie,https://image.tmdb.org/t/p/w500//RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
The Gigolo,"Fung looks like a super-heartthrob and was bon with a special endowment, making him the high school idol. He was expelled from school when he was caught fighting on campus. When his mom, the sole provider of his family with her poultry business, had to stop working due to her back problems, Fung decides to support his family financially. And from that moment, his life takes on a tumultuous change…",2015,"Romance, Drama, Comedy",Movie,https://image.tmdb.org/t/p/w500//v0YIyJc5EtAGciCZsvqsW2QPRAr.jpg
The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022,"Crime, Mystery, Thriller",Movie,https://image.tmdb.org/t/p/w500//74xTEgt7R36Fpooo50r9T25onhq.jpg
Immaculate,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",2024,"Horror, Mystery, Thriller",Movie,https://image.tmdb.org/t/p/w500//fdZpvODTX5wwkD0ikZNaClE4AoW.jpg
Consent,"Vanessa Springora tells how she found herself under the influence of a famous writer. In 1986, she was 13; him, almost 50. She explains how she was the victim of a triple predation: sexual, literary and psychic. But beyond her individual story, she also questions the excesses of an era, and the complacency of an environment blinded by talent and celebrity.",2023,"History, Drama",Movie,https://image.tmdb.org/t/p/w500//8QTo3OgSqS09jFYPwQWXyx0fi2W.jpg
Alienoid,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",2022,"Science Fiction, Action, Fantasy, Adventure",Movie,https://image.tmdb.org/t/p/w500//8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg
Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",1997,"Drama, Romance",Movie,https://image.tmdb.org/t/p/w500//9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
Out of Exile,"Recently paroled thief Gabriel Russell tries to balance his life and mend a troubled family as an FBI agent hunts him down, along with his crew after a botched armored car robbery.",2023,"Thriller, Drama, Action, Crime",Movie,https://image.tmdb.org/t/p/w500//jgF5XaXnJmOgMxulhy2k1f9LNNc.jpg
Attack of the Meth Gator,"On a small island in the Florida Everglades, a DEA agent and a local sheriff gather a team of locals to take down a giant meth-fueled alligator.",2024,"Horror, Science Fiction, Action",Movie,https://image.tmdb.org/t/p/w500//e8W2ybPj3lQiDTAoWfofxAXVkoL.jpg
Autumn and the Black Jaguar,"Grown up in the Amazon rainforest, Autumn lives with Hope, the cute baby jaguar she adopted. However, a circumstance forces Autumn to return to New York. Autumn goes back into the jungle to save Hope from grave danger.",2024,"Adventure, Family",Movie,https://image.tmdb.org/t/p/w500//ocHu00nOZzK0m9BsFdrFg3SglS0.jpg
Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",2016,"Action, Adventure, Comedy",Movie,https://image.tmdb.org/t/p/w500//3E53WEZJqP6aM84D8CckXx4pIHw.jpg
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",2024,"Horror, Mystery, Thriller",Movie,https://image.tmdb.org/t/p/w500//vZVEUPychdvZLrTNwWErr9xZFmu.jpg
Afire,"Self-important author Leon joins his best friend on a summer holiday near the Baltic Sea to complete his novel. When they arrive, they find their house is already occupied by a carefree woman who challenges Leon to open up. Meanwhile, forest wildfires rage around them and impending disaster looms.",2023,"Drama, Romance, Comedy",Movie,https://image.tmdb.org/t/p/w500//k8NYzD01zAUsdqocjhLXbO9BSS8.jpg
Father There is Only One 4,"The eldest of the family, Sara, comes of age and brings chaos to the family by announcing her intention to marry Ocho. Javier and Marisa try to avoid it at all costs. At the same time Dani has an existential crisis, Paulita feels jealous of Cris, Carlota announces that she has found a boyfriend from a high society family and Rocio has finally managed to be cast in her first film.",2024,"Family, Comedy",Movie,https://image.tmdb.org/t/p/w500//hTMvGolGJLF0GQ7mlwNjbXpsPZ.jpg
Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",2010,"Adventure, Fantasy",Movie,https://image.tmdb.org/t/p/w500//iGoXIpQb7Pot00EEdwpwPajheZ5.jpg
Oomuro-ke: Dear Friends,The second part of a spin-off of YuruYuri featuring Sakurako and her sisters.,2024,"Animation, Comedy",Movie,https://image.tmdb.org/t/p/w500//koSwlDnN0uBBOIZ5h3ILGj2QG7L.jpg
Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",2014,"War, Drama, Action",Movie,https://image.tmdb.org/t/p/w500//pfte7wdMobMF4CVHuOxyu6oqeeA.jpg
Underground Monster,"Near a remote town, the repeated dumping of toxic waste causes an underground cave dweller to mutate into a hideous monster. A construction team that is digging a tunnel accidentally disturb the creature's habitat causing it to attack.",2023,"Fantasy, Adventure",Movie,https://image.tmdb.org/t/p/w500//lWVwWRLqpS1OaNg7KT0ZecSW0PK.jpg
No Way Up,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,2024,"Thriller, Horror, Action",Movie,https://image.tmdb.org/t/p/w500//hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg
Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2023,"Animation, Comedy, Family, Fantasy, Romance",Movie,https://image.tmdb.org/t/p/w500//4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg
Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",2018,"Science Fiction, Action",Movie,https://image.tmdb.org/t/p/w500//2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg
Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",2023,"Animation, Family, Fantasy, Adventure",Movie,https://image.tmdb.org/t/p/w500//vgJZSqKMXWDDx09iSIStGKfHMku.jpg
Devara: Part 1,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",2024,"Action, Drama",Movie,https://image.tmdb.org/t/p/w500//1105WNYals12Va2f4F3VeBZdcWX.jpg
Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",2011,"Fantasy, Adventure",Movie,https://image.tmdb.org/t/p/w500//c54HpQmuwXjHq2C9wmoACjxoom3.jpg
Atlas,A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.,2024,"Science Fiction, Action",Movie,https://image.tmdb.org/t/p/w500//bcM2Tl5HlsvPBnL8DKP9Ie6vU4r.jpg
Pirates of the Caribbean: Dead Man's Chest,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,2006,"Adventure, Fantasy, Action",Movie,https://image.tmdb.org/t/p/w500//uXEqmloGyP7UXAiphJUu2v2pcuE.jpg
Tarot,"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",2024,Horror,Movie,https://image.tmdb.org/t/p/w500//gAEUXC37vl1SnM7PXsHTF23I2vq.jpg
The Family Plan,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",2023,"Action, Comedy",Movie,https://image.tmdb.org/t/p/w500//jLLtx3nTRSLGPAKl4RoIv1FbEBr.jpg
Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",2016,"Drama, Romance",Movie,https://image.tmdb.org/t/p/w500//Ia3dzj5LnCj1ZBdlVeJrbKJQxG.jpg
The OctoGames,"Eight contestants compete in eight deadly, classic children's games. They seek fame beyond their wildest dreams, competing for the chance to take over the YouTube channel of the famous yet elusive masked content creator known only as ""JaxPro"".",2022,"Thriller, Action, Horror",Movie,https://image.tmdb.org/t/p/w500//qGz5rffXhegQH5PGUDiObqoOt06.jpg
Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016,"Adventure, Action, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
Pirates of the Caribbean: The Curse of the Black Pearl,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",2003,"Adventure, Fantasy, Action",Movie,https://image.tmdb.org/t/p/w500//poHwCZeWzJCShH7tOjg8RIoyjcw.jpg
Drawing Closer,"With only a year left to live, 17-year-old Akito finds new meaning in life by bringing joy to a terminally ill girl who has just six months remaining.",2024,"Romance, Drama",Movie,https://image.tmdb.org/t/p/w500//173FD4a0rpSF30z4CoWx6qdx8Ry.jpg
Paradox Effect,"An innocent woman is forced to confront a dangerous kingpin who has kidnapped her young daughter and is holding her for ransom. She teams up with a corrupt Interpol agent, whose son is also being held hostage, to rip off various criminals to raise the ransom to save their offspring. Together they have one hour to save their families from the wrath of bigwig.",2024,"Action, Thriller",Movie,https://image.tmdb.org/t/p/w500//koJFEW997sLjpu4e7wmFioA2mhL.jpg
Unang Tikim,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved.",2024,"Romance, Drama",Movie,https://image.tmdb.org/t/p/w500//oDWZS6LznvdH7mZOYfCro0ISJCM.jpg
Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,2023,"Drama, History",Movie,https://image.tmdb.org/t/p/w500//8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",2017,"Action, Crime, Thriller",Movie,https://image.tmdb.org/t/p/w500//dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg
Ratatouille,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",2007,"Animation, Comedy, Family, Fantasy",Movie,https://image.tmdb.org/t/p/w500//t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
Slingshot,"An elite trio of astronauts aboard a years-long, possibly compromised mission to Saturn's moon Titan, gears up for a highly dangerous slingshot manoeuvre that will either catapult them to Titan or into deep space.",2024,"Science Fiction, Thriller",Movie,https://image.tmdb.org/t/p/w500//80zdgev0Uw1X52ouP79GJRr5fdQ.jpg
Hit Man,A mild-mannered professor moonlighting as a fake hit man in police stings ignites a chain reaction of trouble when he falls for a potential client.,2024,"Crime, Comedy, Romance",Movie,https://image.tmdb.org/t/p/w500//oil3EZwKFp3CWxZnfGfGglesvm9.jpg
The Lord of the Rings: The Two Towers,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002,"Adventure, Fantasy, Action",Movie,https://image.tmdb.org/t/p/w500//5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
Je ne suis pas un héros,"Louis is a super nice guy. But in his lawyer's office, this is not a compliment. When his doctor wrongly diagnoses a serious disease, his colleagues behaviour changes : they care about him, they ask him questions and they listen his answers. Finally, Louis exists ! So, obviously, he hesitates over telling the truth.",2023,Comedy,Movie,https://image.tmdb.org/t/p/w500//qH8p6c3P7wruLcckGpxdoA0BrKG.jpg
Shimmy: The First Monkey King,"Shimmy, a monkey newly discover superhero powers and learns how to control his extraordinary transformative abilities and prevent powerful demonic forces from sending the universe into chaos.",2023,"Action, Adventure, Animation, Comedy, Fantasy",Movie,https://image.tmdb.org/t/p/w500//ktvSdBzYts4voUO0FJG5O6FOcPI.jpg
Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",2024,"Action, Comedy, Adventure",Movie,https://image.tmdb.org/t/p/w500//rUcuageYgv9SsJoWuc0seRWG6JC.jpg
"Monsters, Inc.","Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",2001,"Animation, Comedy, Family",Movie,https://image.tmdb.org/t/p/w500//wFSpyMsp7H0ttERbxY7Trlv8xry.jpg
Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",2023,"Comedy, Adventure",Movie,https://image.tmdb.org/t/p/w500//iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
Land of Bad,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.",2024,"Action, War, Thriller",Movie,https://image.tmdb.org/t/p/w500//h3jYanWMEJq6JJsCopy1h7cT2Hs.jpg
Indiana Jones and the Dial of Destiny,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",2023,"Adventure, Action",Movie,https://image.tmdb.org/t/p/w500//Af4bXE63pVsb2FtbW8uYIyPBadD.jpg
