title,description,year,genre,type,cover_image
Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",2023,"Science Fiction, Adventure, Action",Movie,https://image.tmdb.org/t/p/w500//gPbM0MK8CP8A174rmUwGsADNYKD.jpg
Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",2001,"Adventure, Fantasy",Movie,https://image.tmdb.org/t/p/w500//wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
An Ideal Father,"Michel, the jovial owner of the only café in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit.",2024,"Drama, TV Movie",Movie,https://image.tmdb.org/t/p/w500//4xJd3uwtL1vCuZgEfEc8JXI9Uyx.jpg
Jackpot!,"In the near future, a 'Grand Lottery' has been established - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot. When Katie Kim mistakenly finds herself with the winning ticket, she reluctantly joins forces with amateur lottery protection agent Noel Cassidy who must get her to sundown in exchange for a piece of her prize.",2024,"Comedy, Science Fiction, Action",Movie,https://image.tmdb.org/t/p/w500//fOsamTFIyGxjw1jLSKdZYxQBJOT.jpg
Hunting Games,"When a group of ex-military members is hired to retrieve a lost bag of stolen money, their mission becomes more difficult after a lone hunter finds the bag first.",2023,"Action, Thriller, TV Movie",Movie,https://image.tmdb.org/t/p/w500//xVbEJzdMxIQqpuLgla0hU8qr9mt.jpg
Joker: Folie à Deux,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",2024,"Drama, Crime, Thriller",Movie,https://image.tmdb.org/t/p/w500//uxNG9xZ1ZWXr6K9V3X8n4ysonSP.jpg
Gunner,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",2024,"Action, Thriller, Crime",Movie,https://image.tmdb.org/t/p/w500//eEkAY5veAnwxUOOlpF62KawkFO9.jpg
Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",2023,"Animation, Action, Adventure, Comedy, Family",Movie,https://image.tmdb.org/t/p/w500//ldfCF9RhR40mppkzmftxapaHeTo.jpg
The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",2011,Drama,Movie,https://image.tmdb.org/t/p/w500//7XLSwxpfpPoJyTdJVot6a42TS2V.jpg
Darkness of Man,"Russell Hatch, an Interpol operative who takes on the role of father figure to Jayden, the son of an informant killed in a routine raid gone wrong. Years later, Hatch finds himself protecting Jayden and his grandfather from a group of merciless gangs in an all-out turf war, stopping at nothing to protect Jayden and fight anyone getting in his way.",2024,Action,Movie,https://image.tmdb.org/t/p/w500//zgZ05k3m1XePSi5nJ0ZKQo5AXWY.jpg
